Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4115,5231
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),7450,8720
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,774,1237
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2107,3291
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2167,2876
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5899,6611
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1423,2026
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3327,3729
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3136,4378
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),9267,9267
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,3078,3885
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),7053,7801
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,4730,5608
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),9228,9228
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,447,1577
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1935,3516
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,1106,1291
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),3479,3479
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,953,1338
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2481,3197
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,2780,3506
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),7579,7754
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1076,1979
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3419,4709
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,5,50
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),66,274
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,618,1255
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),1491,2705
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,131,325
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),608,830
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,379,571
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),1006,1877
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1300,1650
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3388,3824
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,970,1578
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),2329,2854
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1601,2716
