Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,9106,14782
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),18286,23024
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2389,3685
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4833,7557
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,5381,7661
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),12140,14183
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3944,5157
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),8798,10904
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,10756,11307
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),18825,18825
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,7881,10233
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),16104,19505
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,11823,14898
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),20901,21693
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,817,2394
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),2494,6360
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,631,1191
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),4101,4101
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,650,2545
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4559,6650
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,5629,7430
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),9692,11262
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2244,4046
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),6334,8833
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1,68
