Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2381,2587
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4031,4293
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,382,596
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1279,1313
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1105,1762
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2081,2081
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,914,1239
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1773,1915
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2045,2226
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4555,4555
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1907,2293
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2465,3941
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2332,2774
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4396,4396
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,136,678
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),803,1493
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",SC,Gender-Neutral,521,545
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),1438,1438
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,492,783
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1123,1498
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",SC,Gender-Neutral,1688,2025
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),3101,3101
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,580,1002
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),770,1986
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1,32
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),10,71
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",SC,Gender-Neutral,280,722
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),373,373
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,34,171
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),196,368
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,197,274
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),584,1054
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,706,990
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1673,1673
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,217,779
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1772,2347
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,622,1267
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1874,1874
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",SC,Gender-Neutral,588,999
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1052,1052
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,191,476
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),142,1066
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Gender-Neutral,901,1369
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1500,2276
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2375,2569
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4116,4116
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2787,3050
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4427,4427
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Gender-Neutral,904,1086
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1940,1940
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1531,1751
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3907,3907
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2614,3144
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4590,4590
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",SC,Gender-Neutral,3170,3198
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),4482,4482
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2311,2546
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4406,4406
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,542,761
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1061,1732
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,731,977
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1897,1897
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1216,1650
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2943,3151
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,2298,2631
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),4734,4734
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1831,2133
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),3471,3923
